timestamp,coordinates,vehicle_class,car_model_1,car_model_1_accuracy,car_model_2,car_model_2_accuracy,confidence,color_1,color_1_accuracy,color_2,color_2_accuracy,plate_number,plate_confidence,char_confidences,vehicle_image,plate_image
2025-04-25 00:50:58,"(0,3)-(1918,1054)",car,Cadillac_ELR_2014,0.49925902485847473,KIA_K5_2011-2015,0.48657411336898804,0.9224575757980347,blue,0.8765456676483154,green,0.04913973808288574,7231UTJ,0.8953160047531128,0.8829192178589957,"[0.9505690932273865, 0.912602961063385, 0.9098087549209595, 0.8816850185394287, 0.8622317910194397, 0.846108078956604, 0.8174288272857666]",detections/20250425-005057_vehicle.jpg,detections/20250425-005057_plate.jpg
2025-04-25 00:51:02,"(2,2)-(1916,1053)",car,KIA_K5_2011-2015,0.9271581768989563,Cadillac_ELR_2014,0.07048877328634262,0.9272111058235168,blue,0.5779328346252441,green,0.2730048596858978,7231UTJ,0.8896217942237854,0.8839862091200692,"[0.9323348999023438, 0.9230397939682007, 0.8888171315193176, 0.8865044116973877, 0.872147262096405, 0.8692395091056824, 0.8158204555511475]",detections/20250425-005101_vehicle.jpg,detections/20250425-005101_plate.jpg
2025-04-25 00:51:06,"(1,3)-(1914,1052)",car,Chevy_Volt_2011-2015,0.5458966493606567,KIA_K5_2011-2015,0.4368177056312561,0.9095613956451416,blue,0.6965897083282471,green,0.241660937666893,7231UTJ,0.8990198969841003,0.8829831480979919,"[0.9326438307762146, 0.8959432244300842, 0.8920754194259644, 0.8877047300338745, 0.8795666098594666, 0.8776161670684814, 0.8153320550918579]",detections/20250425-005105_vehicle.jpg,detections/20250425-005105_plate.jpg
2025-04-25 00:51:57,"(541,2)-(1916,1054)",car,Honda_Crider_2013-2015,0.9994730353355408,Mitsubishi_XR-PHEV_2013-2015,0.0005263224593363702,0.8359618782997131,black,0.9586154222488403,blue,0.026642363518476486,,0.6107831597328186,0.0,[],detections/20250425-005155_vehicle.jpg,detections/20250425-005155_plate.jpg
2025-04-25 00:52:02,"(456,5)-(1914,1054)",car,Honda_Crider_2013-2015,0.9992037415504456,Mitsubishi_XR-PHEV_2013-2015,0.000795990985352546,0.8558329343795776,black,0.7037731409072876,green,0.20680321753025055,,0.5552701950073242,0.0,[],detections/20250425-005200_vehicle.jpg,detections/20250425-005200_plate.jpg
2025-04-25 00:52:06,"(443,5)-(1916,1056)",car,Honda_Crider_2013-2015,0.9986573457717896,Honda_CR-Z_2010-2013,0.0007309231441468,0.775001585483551,black,0.6009196639060974,green,0.15764063596725464,N/A,0.0,0.0,[],detections/20250425-005205_vehicle.jpg,N/A
2025-04-25 00:52:10,"(769,234)-(1916,1060)",car,Cadillac_ELR_2014,0.9877865314483643,KIA_K5_2011-2015,0.008460305631160736,0.895176351070404,green,0.6625756621360779,black,0.11682303994894028,7231UTJ,0.8975669741630554,0.8591033220291138,"[0.9004262089729309, 0.8845396637916565, 0.8757997751235962, 0.8754438757896423, 0.8534983992576599, 0.8132882714271545, 0.810727059841156]",detections/20250425-005208_vehicle.jpg,detections/20250425-005208_plate.jpg
2025-04-25 00:52:14,"(164,4)-(1916,1063)",car,Chevy_Volt_2011-2015,0.9938050508499146,Honda_Insight_2010-2013,0.0037771230563521385,0.5439484119415283,black,0.6893879771232605,green,0.23810382187366486,7231UTJ,0.8978086709976196,0.8740984456879752,"[0.9102420806884766, 0.9057393074035645, 0.8924407362937927, 0.8831599354743958, 0.8778786659240723, 0.8251342177391052, 0.8240941762924194]",detections/20250425-005213_vehicle.jpg,detections/20250425-005213_plate.jpg
2025-04-25 00:52:57,"(6,9)-(1914,1059)",car,Honda_CR-Z_2010-2013,0.5359305143356323,Cadillac_ELR_2014,0.13434763252735138,0.7322899103164673,green,0.7251964211463928,black,0.22632776200771332,,0.8024125099182129,0.0,[],detections/20250425-005255_vehicle.jpg,detections/20250425-005255_plate.jpg
2025-04-25 00:53:00,"(661,243)-(1918,1062)",car,Honda_Odyssey_2009-2015,0.9960479140281677,Honda_Crider_2013-2015,0.003603289369493723,0.7085642218589783,black,0.9534615278244019,green,0.039811309427022934,,0.8078402280807495,0.0,[],detections/20250425-005259_vehicle.jpg,detections/20250425-005259_plate.jpg
